Name,Carrier 1,Year 1,Carrier 2,Year 2,Carrier 3,Year 3,Carrier 4,Year 4,Carrier 5,Year 5,Carrier 6,Year 6,Carrier 7,Year 7,Carrier 8,Year 8,Carrier 9,Year 9,Carrier 10,Year 10,Carrier 11,Year 11,Carrier 12,Year 12,Carrier 13,Year 13,Carrier 14,Year 14,Carrier 15,Year 15,Carrier 16,Year 16,Carrier 17,Year 17,Carrier 18,Year 18,Carrier 19,Year 19,Carrier 20,Year 20,Carrier 21,Year 21,Carrier 22,Year 22,Carrier 23,Year 23,Carrier 24,Year 24,Carrier 25,Year 25,Carrier 26,Year 26,Carrier 27,Year 27,Carrier 28,Year 28,Carrier 29,Year 29,Carrier 30,Year 30,Carrier 31,Year 31,Carrier 32,Year 32,Carrier 33,Year 33,Carrier 34,Year 34,Carrier 35,Year 35,Carrier 36,Year 36,Carrier 37,Year 37,Carrier 38,Year 38,Carrier 39,Year 39,Carrier 40,Year 40,Carrier 41,Year 41,Carrier 42,Year 42,Carrier 43,Year 43,Carrier 44,Year 44,Carrier 45,Year 45
BORDIERPaul Camille,,1944,FOM,1946,,1948,FOM,1950,,1950,FOM,1955,FOM,1951,FOM,1951,,1951,,1956,FOM,1960,FOM,1958,,1959,FOM,1962,,1961,the Ministry of Cooperation ,1962,,1970,,1996,,1996,Heavy industry,1986,,1995,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BUTTON Daniel Maurice Jacques,,1974,Ministry of Economy,1977,Ministry of Economy,1981,Ministry of Economy,1984,Ministry of Economy,1988,,1991,SociÇtÇ GÇnÇrale,2009,,2008,,2009,,2002,Other sectors,2009,Ministry of Economy,1980,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BOUYOUX Philippe,,1984,INSEE,1983,INSEE,1985,,1988,,1991,,1992,INSEE,1995,,1996,,1997,,1997,,2002,,2004,,2004,Ministry of Economy,2004,,2005,,2009,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BRABANT Magali Daniele Fanny,,1997,,2005, Caisse des dÇpìts et consignations,2010,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BRAC de LA PERRI‘RE Geraud Marie Dominique Henri,Commisions,1985,Other banks,1987,Other banks,1990,Other banks,1993,Other banks,1996,,1997,,2006,Other banks,2009,,2010,,2010,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BRASSENS Bertrand Pierre LÇa Marie Joseph,,1975,Ministry of Economy,1979,Ministry of Economy,1984,,1984,,1984,,1986,Ministry of Economy,1990,,1990,Ministry of Economy,1994,,2000,,2001,,2001,,2004,,2009,,2009,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BREAUD Patrick Michel,,1967,Ministry of Economy,1971,Cabinets,1972,Other banks,1975,Other banks,1974,Other banks,1976,Other banks,1978,,1983,,1982,CIC,1983,CIC,1991,CIC,1994,CIC,1986,CIC,1992,,1992,,1999,,2002,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BREDIN Frederique Marie Denise Colette,,1986,,1988,,1991,,1995,,1992,,1994,,1993,,1996,,2000,,2000,,2000,Media,2004,,2004,,2009,,2009,Media,2010,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BRIFFOD Alain Jean RenÇ,,1971,Cabinets,1971,SociÇtÇ GÇnÇrale,1980,,1980,,1983,,1983,BNP Paribas,1994,,1994,,1995,,2005,,2000,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BRIOT Nicole Marie Jeanne,"the Ministry of Agriculture, Minister of Agriculture and Forestry ",1963,Ministry of Agriculture,1968,Ministry of Economy,1971,FOM,1974,,1982,,1984,Ministry of Culture,1988,,1992,,1996,,2007,,2003,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BUKSPAN Elisabeth Suzanne,Ministry of Economy,1980,Ministry of Economy,1981,Cabinets,1983,,1984,,1987,,1988,,1991,,1993,,1995,,1995,,1996,,1996,,1998,,1997,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BURGARD Louis-Roch,,1999,,2002,Energy sector,2003,,2009,Energy sector,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
BUTLER Walter,Cabinets,1988,,1990,,1998,,1990,,1997,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CABANA Yves Jean Camille,,1988,,1988,Cabinets,1992,,1993,,1993,,2000,,1995,,1995,,1995,,1996,,1996,,2002,Ministry of Economy,2003,,2009,Consulting,2009,,2003,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CADIOU Alain Georges Jean Marie Joseph,,1966,,1978,General Tax Department,1978,Ministry of Economy,1984,,1984,,1989,HSBC France,2000,,2002,Ministry of Economy,2002,HSBC France,2003,,2003,,2009,,2010,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CAHART Patrice Didier Jean,,1969,Ministry of Economy,1971,Cabinets,1973,,1979,,1985,,1987,,1991,,1994,Ministry of Culture,1992,,1998,,1998,,2005,,2005,,2005,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CAILLETEAU Francois Pierre RenÇ,,1961,,1968,,1974,,1972,,1976,,1976,,1976,,1978,Cabinets,1980,,1981,,1983,Ministry of Defense,1987,,1994,,1989,,1994,,1996,,1997,,2003,,1998,,2007,,2008,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CAPRON Philippe Gaston Henri,,1981,,1990,Other banks,1992,Consulting,1994,,1998,,1998,,2000,,2002,,2004,,2006,Energy sector,2006,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CAREIL Patrick Emile Alain,,1976,,1976,Ministry of Economy,1981,Ministry of Economy,1983,,1985,,1986,,1987,Commissions Other,1989,Cabinets,1989,HSBC France,2004,,2004,HSBC France,1991,,2004,,1998,Commisions,2004,,2001,BPCE group,2005,,2007,BPCE group,2005,HSBC France,2007,Retail,2007,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CARLE Pierre Louis Joseph,FOM,1945,,1946,FOM,1949,,1950,FOM,1958,FOM,1963,FOM,1954,,1963,Cabinets,1962,,1963,,1968,,1969,,1972,FOM,1974,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CARMONA Julien Francois Paul,,2000,BNP Paribas,2004,,2004,,2007,,2008,Natixis,2009,,2009,,2009,,2010,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CARPENTIER Jean-Baptiste Marie-Emmanuel,,1990,,1991,the Ministry of Justice ,1933,Ministry of Economy,1997,Ministry of Economy,1995,,1999,the Ministry of Justice ,2003,,2003,Cabinets,2007,,2008,,2008,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CAZENAVE Thomas,,2011,,2011,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CEDELLE Jean Joseph,,1972,INSEE,1976,,1974,,1976,,1976,,1977,,1978,,1978,Cabinets,1979,CrÇdit Lyonnais,1984,CrÇdit Lyonnais,1987,CrÇdit Lyonnais,1990,CrÇdit Lyonnais,1999,CrÇdit Lyonnais,1999,CrÇdit Lyonnais,2004,,2002,,2004,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CERUTTI Guillaume,,1996,,2001,,2001,,2004,,2007,,2007,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CHALENDAR (by) Pierre-AndrÇ,the Ministry of Industry ,1988,FOM,1989,FOM,1992,,1996,,2000,,2010,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CHAMBODUC of SAINT PULGENT Noâl Franáois Marie,the Ministry of Transport ,1973,the Ministry of Transport ,1974,,1978,,1981,Commisions,1985,,1990,Other sectors,1995,,1993,,1994,,1999,,2005,,1999,,2002,,2005,,2010,,2009,,2010,,2010,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CHAMPAGNE Valerie Francoise Catherine,,1996,,1997,Commisions,1998,INSEE,1998,Ministry of Economy,2001,,2000,INSEE,2002,,2006,,2008,,2009,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CHARPIN Jean-Michel,,1973,,1980,INSEE,1981,FOM,1985,,1984,,1985,,1993,,1992,BNP Paribas,1998,,1998,,1996,,2007,FOM,2003,,1999,INSEE,1998,,2000,FOM,2001,,2003,INSEE,2007,,2006,,2005,,2008,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CHAUMET Francois Paul Rene,FOM,1943,FOM,1945,,1948,FOM,1949,,1950,,1951,FOM,1951,FOM,1958,FOM,1958,FOM,1959,the Ministry of State for Aid and Cooperation ,1959,,1960,the Ministry of State for Aid and Cooperation ,1962,FOM,1960,,1966,,1968,,1971,Commissions Other,1970,,1974,,1972,,1975,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CHAVANNE Paul-Marie Laurent Joseph,,1982,Ministry of Economy,1988,,1989,Ministry of Economy,1989,,1992,Heavy industry,1997,,1997,Heavy industry,1997,Heavy industry,1999,Heavy industry,2001,,2001,,2001,,2006,,1982,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
HORSE Marie Camille Francoise,,2003,,2005,Other banks,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CHOUSSAT Jean Germain Albert,Ministry of Economy,1974,,1968,Ministry of Economy,1979,,1981,,1986,,1989,,1993,,1998,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CLUZEL Jean-Paul Philippe,Commisions,1977,,1978,,1981,Ministry of Economy,1985,,1986,,1988,,1992,Ministry of Economy,1992,,1995,,2004,,1996,,2009,,2009,,2009,,1994,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
COHEN Alain-Gerard,,1969,Commisions,1972,Commissions Other,1976,Ministry of Economy,1978,,1983,,1988,,1991,,1992,,2001,,1995,,1998,,2004,,2002,,1983,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
COLIN Nicolas Yves,Technology,1999,,2000,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
COLLI Jean-Claude,FOM,1961,,1965,,1971,,1974,the Ministry of Industry ,1978,Other sectors,1981,the Ministry of the Environment,1981,,1978,,1981,BPCE group,1996,BPCE group,1996,FOM,2003,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CONSIGNY Pierre Francois Marie Jean,FOM,1963,,1969,,1969,the Ministry of Equipment and Housing,1978,the Ministry of Equipment and Housing,1971,,1971,,1975,,1981,,1997,,1995,,1995,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CONSTANS Emmanuel Jean Leopold,Commisions,1977,,1979,Ministry of Economy,1981,,1982,,1989,,1993,,1999,,2002,,2002,,2004,,2004,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CONTENTSOU Marie-Claude,Ministry of Economy,1979,,1980,,1984,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
COPPINGER Nathalie Marie Patricia,,1981,Media,1989,Media,1991,,1992,Ministry of Economy,1994,,2000,Cabinets,2002,,2005,,1996,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CORDIER Alain David Francois Marie,,1979,,1980,,1986,,1985,,1989,,1997,Media,1997,,2005,Ministry of Culture,1999,,2003,,2007,,2005,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
COSSê Pierre-Yves Michel Marie,the Ministry of National Education ,1970,,1971,,1968,,1969,,1969,,1970,Ministry of Economy,1973,,1978,,1980,,1980,,1982,,1988,FOM,1991,,1994,,1996,,2003,,2003,,2005,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
COSTA de BEAUREGARD Olivier Emmanuel Albert Marie,,1990,,1991,,1993,,1995,,1996,,1997,,1998,,2005,HSBC France,2005,Heavy industry,2005,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
COUSTET Olivier Bruno Louis,,1997,,1998,,2000,Media,2001,,2004,,2005,,2008,,2009,Consulting,2010,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
COZON Stanislas Marie Ferdinand Colas Patrick,,1983,Natixis,1989,Consulting,1991,Consulting,1999,Consulting,2003,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
COZZAROLO Bertrand,,2004,Other banks,2007,,2010,SociÇtÇ GÇnÇrale,2010,,2005,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CREMEL Bruno Laurent,,1996,Retail,1999,Other sectors,2000,,2000,,2002,Retail,2006,,2006,Ministry of Economy,1998,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CUKIERMAN Daniel Maxime,,1984,,1989,,1995,,1994,,2002,,2000,Heavy industry,2000,Heavy industry,2002,Heavy industry,2004,Heavy industry,2005,Heavy industry,2006,,2006,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
CUNEO Pierre Henri Paul,,2000,Ministry of Economy,2007,,2009,,2009,,2008,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DAMAIS Alain Philippe Bernard,the Ministry of National Education ,1996,Ministry of Economy,1997,Ministry of Economy,2001,,2002,,2007,,2007,,2011,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
DANE Philip Claude Theobald Oliver,Commisions,1980,,1982,,1985,,1983,FOM,1990,,2002,,2008,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
